Example,Type,IT,E_inf,RMSResidual,MaxPointwiseError
Ex.~4.3,curve,22,9.00489789100279e-07,0.00104764261298321,0.00625462958753351
Ex.~4.6,surface,13,4.4237394923552e-07,0.0988346826880147,0.929792720369896
