Example,Method,ObservedPoints,RemovedPoints,ControlPoints,Rank,IT,CPU_mean,CPU_std,E_inf,HoleRMS,HoleMax
Ex.~4.1,LSPIA-Lin2018,267,64,101,96,18,0.0008023518,0.000958854401303556,9.34939719089867e-07,0.0727257129122621,0.180662796246296
Ex.~4.1,ALSPIA,267,64,101,96,38,0.0009444164,7.06390114830325e-05,9.62379277040103e-07,0.118776245136845,0.227152676088185
Ex.~4.1,SaLSPIA,267,64,101,96,14,0.0004460584,5.6059807485399e-05,4.40178281967554e-07,0.115359966164121,0.220190801020364
Ex.~4.2,LSPIA-Lin2018,458,63,201,189,26,0.0010051458,0.000124271112372104,8.70451183809684e-07,0.482863635809083,1.1494195150835
Ex.~4.2,ALSPIA,458,63,201,189,32,0.0008814508,0.000134325941186727,9.06365803999013e-07,0.648788033842554,1.1976599297661
Ex.~4.2,SaLSPIA,458,63,201,189,14,0.0007167138,0.000126712538129421,7.51162823104751e-07,0.642355291634937,1.19587509966065
Ex.~4.7,LSPIA-Lin2018,206,63,101,90,32,0.0007244776,0.000122568961351559,9.85164173927394e-07,0.0171087530526402,0.0420941588714828
Ex.~4.7,ALSPIA,206,63,101,90,73,0.0012914428,0.000250489238790212,9.87181011206769e-07,0.0189201729124832,0.0414619968059929
Ex.~4.7,SaLSPIA,206,63,101,90,17,0.0005718994,0.00012619584036251,9.42337778346753e-07,0.0189388601778812,0.0414619153939225
