Method,IT,CPU_mean,CPU_std,E_inf
LSPIA,1262,39.3779553236,1.52381642651413,9.94203797399557e-07
ALSPIA,33,1.0432298918,0.0143856355999377,9.74297394624586e-07
MLSPIA,114,2.41626687,0.0595491358489625,8.9895231496318e-07
NmLSPIA,23,0.6022780192,0.0164851479328517,9.60421099378677e-07
SaLSPIA,13,0.2749761758,0.00718923633870168,4.4237394923552e-07
