k,observed_norm_decay,theta_power_k
0,1,1
5,0.104620808314582,0.965577551414891
10,0.0429405681549665,0.932340007796377
15,0.00392898220189816,0.900246581814167
20,0.00197431232108964,0.869257890137749
22,0.000948941404460928,0.857163176402593
