name,IT,CPU_mean,CPU_std,Einf,HoleRMS,HoleMax,RMSE
LSPIA,10000,NaN,NaN,0.112513215490456,0.0265580373288836,0.0843809678499082,0.0137323670973124
LSPIA-Lin2018,40,0.4817866658,0.00507886858294466,9.33548341348337e-07,0.0205930202907844,0.0808547876521296,0.0080901730089016
ALSPIA,53,0.6437462888,0.00736880272605996,9.84560301791795e-07,0.0297997857501494,0.0844077283904297,0.01170801388788
SaLSPIA,14,0.2478258118,0.00370923638212047,7.60619880934429e-07,0.0297259010999714,0.0844073925042035,0.0116784467246816
